80	84
30	46
76	89
46	55
40	87
80	7
97	13
58	72
95	42
25	10
83	27
82	11
76	93
36	77
70	39
4	52
21	68
97	14
2	60
87	45
81	79
21	73
53	9
64	85
75	96
22	62
52	3
15	51
34	71
1	24
90	68
73	7
34	57
30	40
80	81
89	87
31	20
40	62
79	34
91	35
9	51
37	9
68	92
68	4
38	61
73	88
8	28
54	81
11	79
99	45
34	83
56	91
2	91
26	53
30	97
71	82
48	42
52	23
41	16
64	98
19	58
88	90
90	89
93	59
50	58
56	29
59	69
95	34
42	36
48	32
95	5
61	37
25	3
65	63
80	17
43	59
14	53
52	61
41	63
84	48
40	85
55	63
43	77
83	70
40	69
14	81
9	90
36	69
85	97
32	81
10	78
12	73
69	11
30	2
56	33
43	20
52	77
45	36
24	60
93	74

